configuration,offset,cycles,ber
fixed,0,24.375,0.46875
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.03125
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.0
fixed,0,24.375,0.03125
fixed,0,24.375,0.0
fixed,2,1.21875,0.53125
fixed,2,1.21875,0.53125
fixed,2,1.21875,0.40625
fixed,2,1.21875,0.375
fixed,2,1.21875,0.5625
fixed,2,1.21875,0.40625
fixed,2,1.21875,0.375
fixed,2,1.21875,0.78125
fixed,2,1.21875,0.4375
fixed,2,1.21875,0.4375
fixed,2,1.21875,0.03125
fixed,2,1.21875,0.28125
fixed,2,1.21875,0.40625
fixed,2,1.21875,0.0
fixed,2,1.21875,0.03125
fixed,2,1.21875,0.75
fixed,2,1.21875,0.25
fixed,2,2.4375,0.9375
fixed,2,2.4375,0.96875
fixed,2,2.4375,0.5
fixed,2,2.4375,0.5
fixed,2,2.4375,0.5
fixed,2,2.4375,0.1875
fixed,2,2.4375,0.28125
fixed,2,2.4375,0.53125
fixed,2,2.4375,0.40625
fixed,2,2.4375,0.40625
fixed,2,2.4375,0.15625
fixed,2,2.4375,0.4375
fixed,2,2.4375,0.5625
fixed,2,2.4375,0.5
fixed,2,2.4375,0.625
fixed,2,2.4375,0.15625
fixed,2,2.4375,0.3125
fixed,2,3.65625,0.0
fixed,2,3.65625,0.40625
fixed,2,3.65625,0.1875
fixed,2,3.65625,0.40625
fixed,2,3.65625,0.03125
fixed,2,3.65625,0.5
fixed,2,3.65625,0.53125
fixed,2,3.65625,0.21875
fixed,2,3.65625,0.46875
fixed,2,3.65625,0.125
fixed,2,3.65625,0.5
fixed,2,3.65625,0.5
fixed,2,3.65625,0.46875
fixed,2,3.65625,0.9375
fixed,2,3.65625,0.4375
fixed,2,3.65625,0.125
fixed,2,3.65625,0.0625
fixed,2,4.875,0.625
fixed,2,4.875,0.6875
fixed,2,4.875,0.90625
fixed,2,4.875,0.0625
fixed,2,4.875,0.34375
fixed,2,4.875,0.34375
fixed,2,4.875,0.0
fixed,2,4.875,0.96875
fixed,2,4.875,0.46875
fixed,2,4.875,0.375
fixed,2,4.875,0.0625
fixed,2,4.875,0.0
fixed,2,4.875,0.125
fixed,2,4.875,0.96875
fixed,2,4.875,0.5
fixed,2,4.875,0.0
fixed,2,4.875,0.9375
fixed,2,6.09375,0.0
fixed,2,6.09375,0.28125
fixed,2,6.09375,0.03125
fixed,2,6.09375,0.21875
fixed,2,6.09375,0.21875
fixed,2,6.09375,0.59375
fixed,2,6.09375,0.03125
fixed,2,6.09375,0.0
fixed,2,6.09375,0.03125
fixed,2,6.09375,0.0
fixed,2,6.09375,0.0
fixed,2,6.09375,0.875
fixed,2,6.09375,0.5
fixed,2,6.09375,0.03125
fixed,2,6.09375,0.96875
fixed,2,6.09375,0.96875
fixed,2,6.09375,0.96875
fixed,2,7.3125,0.125
fixed,2,7.3125,0.21875
fixed,2,7.3125,0.03125
fixed,2,7.3125,0.71875
fixed,2,7.3125,0.96875
fixed,2,7.3125,0.9375
fixed,2,7.3125,0.0
fixed,2,7.3125,0.5625
fixed,2,7.3125,0.5
fixed,2,7.3125,0.46875
fixed,2,7.3125,0.5
fixed,2,7.3125,0.5
fixed,2,7.3125,0.40625
fixed,2,7.3125,0.5
fixed,2,7.3125,0.53125
fixed,2,7.3125,0.46875
fixed,2,7.3125,0.5
fixed,2,8.53125,0.5
